participant_id,mlu_words,mlu_morphemes,ttr,total_tokens,ndw,n_utterances
williamson14b,5.526,6.026,0.2808,819,230,116
williamson15a,10.689,9.311,0.3276,980,321,90
williamson16a,6.059,6.908,0.3169,1215,385,185
williamson17a,5.645,6.118,0.3211,679,218,110
williamson18a,6.053,6.716,0.2801,1328,372,190
williamson19a,3.287,3.037,0.3872,483,187,108
williamson21a,2.868,2.842,0.2068,266,55,76
williamson22a,3.236,2.368,0.3044,450,137,106
williamson23a,5.581,6.395,0.2229,1090,243,172
williamson24a,7.963,9.03,0.2591,1401,363,135
